attack_rate,num_views,step_time_ms,acc_mean,acc_std
0,1,169.16948639942956,65.38,1.68
0,2,280.35601736046374,78.35,0.22
0,3,389.12189983918023,79.51,2.05
0,4,530.4401963328321,80.19,0.78
50,1,169.16948639942956,65.61,0.2
50,2,280.35601736046374,71.66,0.39
50,3,389.12189983918023,73.37,0.9
50,4,530.4401963328321,74.5,0.56
100,1,169.16948639942956,66.02,0.82
100,2,280.35601736046374,69.78,1.1
100,3,389.12189983918023,71.76,1.27
100,4,530.4401963328321,73.1,0.68
