method,views,batch_size,step_time_ms_mean,step_time_ms_std,images_per_sec,gflops_per_step,rel_step_cost
Tent,1,64,55.04602148818473,0.16585969304946854,1162.6634999177404,449.166835712,1.0
Tent+JPEG,1,64,164.66753090110916,45.09834512082696,388.6619277630094,449.166835712,2.9914519968796287
Tent+SAFER (N=1),2,64,169.16948639942956,30.185634968306545,378.3188171943035,899.894356096,3.0732372990069896
Tent+SAFER (N=2),3,64,280.35601736046374,29.359154023708445,228.28117121421695,1347.709367808,5.093120443239306
Tent+SAFER (N=3),4,64,389.12189983918023,28.61565390365805,164.47288118826128,1801.387932032,7.069028593150964
Tent+SAFER (N=4),5,64,530.4401963328321,54.574488918805656,120.6545062807463,2247.394863232,9.636303986959124
