run_id	run_name	state	s_alpha_mode	s_alpha_signal	s_alpha_conf_threshold	s_alpha_attack_value	s_alpha_clean_value	s_alpha_attack_high_conf	s_alpha_transition_width	s_alpha_sigmoid_slope	acc_0	acc_100	alpha_mean	attack_detect_rate	alpha_signal_mean	prob_disagreement_mean	feat_disagreement_mean	orig_conf_mean	orig_margin_mean	orig_entropy_mean	final_orig_weight_mean	loss_orig_weight_mean
ci2siax4	SAFER	finished	fixed_conf_threshold	orig_conf	0.8	0	0.25	1	0.1	10	56.36	53.37	0.1538461595773697	0.3846153914928436	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.1538461595773697	0.20000000298023224
xz6pj1oc	SAFER	finished	fixed_conf_threshold	orig_conf	0.8	0	0.5	1	0.1	10	56.15	48.86	0.3076923191547394	0.3846153914928436	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.3076923191547394	0.20000000298023224
wnuuhkpe	SAFER	finished	fixed_conf_threshold	orig_conf	0.8	0	0.75	1	0.1	10	55.08	43.64	0.46153849363327026	0.3846153914928436	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.46153849363327026	0.20000000298023224
w4ctdaw2	SAFER	finished	fixed_conf_threshold	orig_conf	0.8	0	1	1	0.1	10	54.28	41.63	0.6153846383094788	0.3846153914928436	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.6153846383094788	0.20000000298023224
iktq4ei5	SAFER	finished	fixed_conf_threshold	orig_conf	0.8	0.25	0.25	1	0.1	10	61.09	48.3	0.25	0.3846153914928436	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.25	0.20000000298023224
f4wx8dfu	SAFER	finished	fixed_conf_threshold	orig_conf	0.8	0.25	0.5	1	0.1	10	60.88	43.79	0.4038461744785309	0.3846153914928436	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.4038461744785309	0.20000000298023224
e55ehv54	SAFER	finished	fixed_conf_threshold	orig_conf	0.8	0.25	0.75	1	0.1	10	59.82	38.58	0.5576923489570618	0.3846153914928436	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.5576923489570618	0.20000000298023224
n57fmt2x	SAFER	finished	fixed_conf_threshold	orig_conf	0.8	0.25	1	1	0.1	10	59.01	36.57	0.7115384936332703	0.3846153914928436	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.7115384936332703	0.20000000298023224
ehjj9yu1	SAFER	finished	fixed_conf_threshold	orig_conf	0.8	0.5	0.25	1	0.1	10	63.86	35.94	0.3461538553237915	0.3846153914928436	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.3461538553237915	0.20000000298023224
p8dce5w6	SAFER	finished	fixed_conf_threshold	orig_conf	0.8	0.5	0.5	1	0.1	10	63.65	31.43	0.5	0.3846153914928436	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.5	0.20000000298023224
